Player,Rank,Tiers,Team,Position,Points
Chris Manhertz,543,16,JAC,TE,15.3
Ty'Son Williams,544,16,IND,RB,12.6
Charlie Kolar,545,16,BAL,TE,27.2
Kyle Allen,546,16,HOU,QB,10.5
Keith Smith,547,16,ATL,RB,13
James Mitchell,548,16,DET,TE,13.1
Keke Coutee,549,16,IND,WR,34
Jashaun Corbin,550,16,NYG,RB,#N/A
Jacob Hollister,551,16,LV,TE,7.6
Case Keenum,552,16,BUF,QB,9.7
Rico Dowdle,553,16,DAL,RB,13
Colby Parkinson,554,16,SEA,TE,10.2
Bo Melton,555,16,SEA,WR,12.3
Derek Watt,556,16,PIT,RB,7.8
Chris Myarick,557,16,NYG,TE,22.6
Joshua Dobbs,558,16,CLE,QB,15.9
Zander Horvath,559,16,LAC,RB,#N/A
John Wolford,560,16,LAR,QB,9
